Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,31.969999,32.169998,31.400000,31.629999,31.629999,282290
2022-09-21,31.790001,32.400002,31.209999,31.670000,31.670000,334873
2022-09-22,31.950001,31.950001,29.969999,30.660000,30.660000,351511
2022-09-23,29.709999,29.900000,26.200001,26.370001,26.370001,669864
2022-09-26,25.930000,27.639999,25.450001,27.299999,27.299999,466186
2022-09-27,27.750000,28.290001,26.190001,26.490000,26.490000,346227
2022-09-28,26.440001,27.299999,25.770000,26.860001,26.860001,428506
2022-09-29,26.650000,26.750000,25.379999,25.620001,25.620001,368208
2022-09-30,25.000000,26.049999,24.450001,24.730000,24.730000,385569
2022-10-03,24.910000,26.570000,24.389999,25.969999,25.969999,425122
2022-10-04,27.000000,28.750000,26.870001,28.660000,28.660000,437278
2022-10-05,27.959999,28.450001,27.600000,28.309999,28.309999,262795
2022-10-06,28.209999,29.270000,27.980000,28.230000,28.230000,276741
2022-10-07,27.760000,28.360001,27.629999,27.950001,27.950001,200957
2022-10-11,27.500000,28.809999,27.459999,28.230000,28.230000,319830
2022-10-12,28.200001,28.580000,27.020000,28.350000,28.350000,337948
2022-10-13,27.400000,29.180000,27.330000,28.879999,28.879999,352257
2022-10-14,29.260000,29.480000,28.040001,28.200001,28.200001,215144
2022-10-17,28.490000,30.200001,28.490000,30.100000,30.100000,392945
2022-10-18,30.650000,32.259998,30.650000,31.969999,31.969999,609866
2022-10-19,31.969999,32.299999,31.040001,31.840000,31.840000,276657
2022-10-20,31.620001,33.700001,31.620001,33.110001,33.110001,513231
2022-10-21,32.810001,34.910000,32.709999,34.799999,34.799999,573884
2022-10-24,34.799999,35.880001,34.330002,35.500000,35.500000,678135
2022-10-25,35.040001,37.619999,35.040001,37.250000,37.250000,615972
2022-10-26,37.000000,38.930000,37.000000,37.400002,37.400002,565868
2022-10-27,37.689999,38.799999,37.500000,37.700001,37.700001,383091
2022-10-28,37.680000,39.389999,37.180000,39.049999,39.049999,458673
2022-10-31,39.230000,40.349998,39.049999,40.009998,40.009998,486212
2022-11-01,40.500000,41.570000,40.459999,41.290001,41.290001,475378
2022-11-02,41.610001,41.610001,38.820000,39.169998,39.169998,585073
2022-11-03,37.500000,42.000000,37.049999,41.750000,41.750000,993779
2022-11-04,42.000000,42.540001,39.580002,40.599998,40.599998,664292
2022-11-07,41.049999,42.240002,39.270000,42.049999,42.049999,708032
2022-11-08,42.049999,42.740002,40.980000,42.240002,42.240002,500140
2022-11-09,41.950001,43.380001,41.340000,41.650002,41.650002,567848
2022-11-10,42.799999,43.400002,41.509998,41.639999,41.639999,413539
2022-11-11,42.200001,43.650002,41.730000,42.919998,42.919998,813371
2022-11-14,43.200001,43.349998,40.580002,41.139999,41.139999,634037
2022-11-15,41.209999,43.349998,41.209999,42.020000,42.020000,548830
2022-11-16,42.020000,43.459999,41.939999,42.459999,42.459999,557033
2022-11-17,42.259998,42.889999,41.860001,42.810001,42.810001,351988
2022-11-18,43.000000,43.450001,42.560001,42.740002,42.740002,408868
2022-11-21,42.349998,43.509998,42.099998,43.169998,43.169998,544947
2022-11-22,43.250000,43.720001,42.639999,43.310001,43.310001,402237
2022-11-23,43.290001,44.290001,43.020000,44.070000,44.070000,476018
2022-11-24,44.099998,44.490002,43.790001,43.970001,43.970001,145546
2022-11-25,43.799999,44.169998,43.349998,43.970001,43.970001,179792
